PCT,TYPE PTY,VRC,NAME,,ADDRESS,DOB        VOTED,MAILED,RCV'D,STYLE
101,8,8,8,0,8,8,8,8,8
102,2,2,2,0,2,2,2,2,2
104,1,1,1,1,1,1,1,1,1
105,7,7,7,1,7,7,7,7,7
106,4,4,4,0,4,4,4,4,4
107,2,2,2,0,2,2,2,2,2
109,8,8,8,1,8,8,8,8,8
110,1,1,1,1,1,1,1,1,1
111,3,3,3,0,3,3,3,3,3
113,1,1,1,0,1,1,1,1,1
114,1,1,1,1,1,1,1,1,1
117,2,2,2,0,2,2,2,2,2
121,4,4,4,0,4,4,4,4,4
122,6,6,6,0,6,6,6,6,6
124,4,4,4,1,4,4,4,4,4
126,11,11,11,1,11,11,11,11,11
129,4,4,4,1,4,4,4,4,4
130,8,8,8,4,8,8,8,8,8
132,6,6,6,1,6,6,6,6,6
133,4,4,4,0,4,4,4,4,4
135,26,26,26,5,26,26,26,26,26
137,1,1,1,0,1,1,1,1,1
139,2,2,2,0,2,2,2,2,2
140,2,2,2,1,2,2,2,2,2
141,2,2,2,0,2,2,2,2,2
142,3,3,3,0,3,3,3,3,3
149,9,9,9,1,9,9,9,9,9
151,7,7,7,0,7,7,7,7,7
152,8,8,8,0,8,8,8,8,8
153,5,5,5,0,5,5,5,5,5
154,4,4,4,0,4,4,4,4,4
156,7,7,7,1,7,7,7,7,7
164,2,2,2,1,2,2,2,2,2
200,8,8,8,1,8,8,8,8,8
202,9,9,9,1,9,9,9,9,9
205,4,4,4,0,4,4,4,4,4
206,1,1,1,0,1,1,1,1,1
207,8,8,8,0,8,8,8,8,8
210,11,11,11,1,11,11,11,11,11
211,3,3,3,0,3,3,3,3,3
212,5,5,5,2,5,5,5,5,5
214,4,4,4,0,4,4,4,4,4
215,1,1,1,1,1,1,1,1,1
217,3,3,3,0,3,3,3,3,3
218,5,5,5,1,5,5,5,5,5
220,9,9,9,0,9,9,9,9,9
221,1,1,1,0,1,1,1,1,1
222,7,7,7,0,7,7,7,7,7
225,7,7,7,0,7,7,7,7,7
226,1,1,1,1,1,1,1,1,1
227,2,2,2,0,2,2,2,2,2
228,2,2,2,0,2,2,2,2,2
231,18,18,18,0,18,18,18,18,18
232,6,6,6,1,6,6,6,6,6
233,8,8,8,1,8,8,8,8,8
234,4,4,4,1,4,4,4,4,4
235,8,8,8,0,8,8,8,8,8
236,10,10,10,0,10,10,10,10,10
237,11,11,11,0,11,11,11,11,11
238,6,6,6,1,6,6,6,6,6
239,6,6,6,0,6,6,6,6,6
240,4,4,4,0,4,4,4,4,4
241,8,8,8,2,8,8,8,8,8
242,13,13,13,2,13,13,13,13,13
243,1,1,1,0,1,1,1,1,1
244,6,6,6,0,6,6,6,6,6
245,4,4,4,0,4,4,4,4,4
246,12,12,12,0,12,12,12,12,12
247,3,3,3,0,3,3,3,3,3
248,4,4,4,1,4,4,4,4,4
249,8,8,8,1,8,8,8,8,8
250,13,13,13,3,13,13,13,13,13
251,14,14,14,2,14,14,14,14,14
252,8,8,8,1,8,8,8,8,8
253,10,10,10,1,10,10,10,10,10
254,8,8,8,1,8,8,8,8,8
256,5,5,5,0,5,5,5,5,5
258,1,1,1,0,1,1,1,1,1
259,18,18,18,0,18,18,18,18,18
260,4,4,4,1,4,4,4,4,4
262,22,22,22,4,22,22,22,22,22
263,7,7,7,0,7,7,7,7,7
267,4,4,4,0,4,4,4,4,4
273,18,18,18,3,18,18,18,18,18
274,7,7,7,2,7,7,7,7,7
275,7,7,7,1,7,7,7,7,7
277,3,3,3,2,3,3,3,3,3
303,2,2,2,0,2,2,2,2,2
304,19,19,19,2,19,19,19,19,19
306,4,4,4,0,4,4,4,4,4
308,15,15,15,1,15,15,15,15,15
309,6,6,6,0,6,6,6,6,6
310,7,7,7,0,7,7,7,7,7
311,3,3,3,1,3,3,3,3,3
312,5,5,5,0,5,5,5,5,5
314,26,26,26,2,26,26,26,26,26
315,5,5,5,0,5,5,5,5,5
316,5,5,5,1,5,5,5,5,5
317,8,8,8,1,8,8,8,8,8
319,3,3,3,0,3,3,3,3,3
320,8,8,8,1,8,8,8,8,8
321,2,2,2,0,2,2,2,2,2
323,5,5,5,0,5,5,5,5,5
324,5,5,5,0,5,5,5,5,5
326,6,6,6,0,6,6,6,6,6
327,8,8,8,0,8,8,8,8,8
328,5,5,5,0,5,5,5,5,5
329,10,10,10,0,10,10,10,10,10
330,4,4,4,1,4,4,4,4,4
331,14,14,14,2,14,14,14,14,14
332,2,2,2,0,2,2,2,2,2
333,8,8,8,1,8,8,8,8,8
334,12,12,12,2,12,12,12,12,12
335,6,6,6,2,6,6,6,6,6
337,12,12,12,1,12,12,12,12,12
338,18,18,18,1,18,18,18,18,18
340,2,2,2,0,2,2,2,2,2
341,1,1,1,0,1,1,1,1,1
342,4,4,4,1,4,4,4,4,4
343,3,3,3,2,3,3,3,3,3
344,1,1,1,1,1,1,1,1,1
346,17,17,17,0,17,17,17,17,17
349,6,6,6,2,6,6,6,6,6
350,11,11,11,1,11,11,11,11,11
352,1,1,1,0,1,1,1,1,1
354,3,3,3,0,3,3,3,3,3
357,2,2,2,0,2,2,2,2,2
358,11,11,11,0,11,11,11,11,11
359,12,12,12,2,12,12,12,12,12
360,18,18,18,1,18,18,18,18,18
361,5,5,5,2,5,5,5,5,5
362,11,11,11,1,11,11,11,11,11
363,13,13,13,2,13,13,13,13,13
364,12,12,12,2,12,12,12,12,12
365,5,5,5,1,5,5,5,5,5
366,11,11,11,0,11,11,11,11,11
367,22,22,22,1,22,22,22,22,22
369,13,13,13,1,13,13,13,13,13
371,7,7,7,1,7,7,7,7,7
372,6,6,6,1,6,6,6,6,6
373,6,6,6,1,6,6,6,6,6
374,4,4,4,2,4,4,4,4,4
375,6,6,6,0,6,6,6,6,6
401,1,1,1,0,1,1,1,1,1
402,2,2,2,0,2,2,2,2,2
404,7,7,7,1,7,7,7,7,7
405,3,3,3,1,3,3,3,3,3
406,9,9,9,2,9,9,9,9,9
407,1,1,1,1,1,1,1,1,1
408,5,5,5,0,5,5,5,5,5
409,2,2,2,2,2,2,2,2,2
410,2,2,2,0,2,2,2,2,2
411,10,10,10,1,10,10,10,10,10
414,4,4,4,1,4,4,4,4,4
415,1,1,1,0,1,1,1,1,1
416,1,1,1,0,1,1,1,1,1
417,2,2,2,1,2,2,2,2,2
419,1,1,1,0,1,1,1,1,1
420,4,4,4,1,4,4,4,4,4
421,8,8,8,1,8,8,8,8,8
422,13,13,13,3,13,13,13,13,13
423,3,3,3,0,3,3,3,3,3
424,5,5,5,2,5,5,5,5,5
426,8,8,8,0,8,8,8,8,8
427,8,8,8,1,8,8,8,8,8
428,7,7,7,0,7,7,7,7,7
429,1,1,1,0,1,1,1,1,1
430,2,2,2,1,2,2,2,2,2
431,5,5,5,0,5,5,5,5,5
433,4,4,4,1,4,4,4,4,4
435,9,9,9,0,9,9,9,9,9
437,1,1,1,0,1,1,1,1,1
438,8,8,8,1,8,8,8,8,8
439,8,8,8,0,8,8,8,8,8
440,2,2,2,0,2,2,2,2,2
441,2,2,2,0,2,2,2,2,2
442,2,2,2,1,2,2,2,2,2
443,9,9,9,0,9,9,9,9,9
447,1,1,1,0,1,1,1,1,1
448,6,6,6,0,6,6,6,6,6
450,8,8,8,0,8,8,8,8,8
452,10,10,10,3,10,10,10,10,10
458,3,3,3,0,3,3,3,3,3
460,3,3,3,0,3,3,3,3,3
461,1,1,1,0,1,1,1,1,1
463,10,10,10,1,10,10,10,10,10
