PCT,TYPE PTY,VRC,NAME,ADDRESS,DOB        VOTED,MAILED,RCV'D,STYLE
101,1,1,1,1,1,1,1,1
102,9,9,9,9,9,9,9,9
103,3,3,3,3,3,3,3,3
104,3,3,3,3,3,3,3,3
105,8,8,8,8,8,8,8,8
106,2,2,2,2,2,2,2,2
107,2,2,2,2,2,2,2,2
108,9,9,9,9,9,9,9,9
109,20,20,20,20,20,20,20,20
110,68,68,68,68,68,68,68,68
111,36,36,36,36,36,36,36,36
112,8,8,8,8,8,8,8,8
113,53,53,53,53,53,53,53,53
117,1,1,1,1,1,1,1,1
118,1,1,1,1,1,1,1,1
121,3,3,3,3,3,3,3,3
122,1,1,1,1,1,1,1,1
123,56,56,56,56,56,56,56,56
124,2,2,2,2,2,2,2,2
126,3,3,3,3,3,3,3,3
129,1,1,1,1,1,1,1,1
130,3,3,3,3,3,3,3,3
132,4,4,4,4,4,4,4,4
135,11,11,11,11,11,11,11,11
136,49,49,49,49,49,49,49,49
137,98,98,98,98,98,98,98,98
139,4,4,4,4,4,4,4,4
140,3,3,3,3,3,3,3,3
141,1,1,1,1,1,1,1,1
145,34,34,34,34,34,34,34,34
146,31,31,31,31,31,31,31,31
148,83,83,83,83,83,83,83,83
149,2,2,2,2,2,2,2,2
150,48,48,48,48,48,48,48,48
151,1,1,1,1,1,1,1,1
152,4,4,4,4,4,4,4,4
153,3,3,3,3,3,3,3,3
154,3,3,3,3,3,3,3,3
156,8,8,8,8,8,8,8,8
160,32,32,32,32,32,32,32,32
161,28,28,28,28,28,28,28,28
163,3,3,3,3,3,3,3,3
200,6,6,6,6,6,6,6,6
202,4,4,4,4,4,4,4,4
203,18,18,18,18,18,18,18,18
205,23,23,23,23,23,23,23,23
206,4,4,4,4,4,4,4,4
207,5,5,5,5,5,5,5,5
208,2,2,2,2,2,2,2,2
209,1,1,1,1,1,1,1,1
210,1,1,1,1,1,1,1,1
211,5,5,5,5,5,5,5,5
212,9,9,9,9,9,9,9,9
214,6,6,6,6,6,6,6,6
215,18,18,18,18,18,18,18,18
216,13,13,13,13,13,13,13,13
217,2,2,2,2,2,2,2,2
218,27,27,27,27,27,27,27,27
219,44,44,44,44,44,44,44,44
220,2,2,2,2,2,2,2,2
221,2,2,2,2,2,2,2,2
222,3,3,3,3,3,3,3,3
223,1,1,1,1,1,1,1,1
225,8,8,8,8,8,8,8,8
226,20,20,20,20,20,20,20,20
227,16,16,16,16,16,16,16,16
229,14,14,14,14,14,14,14,14
231,6,6,6,6,6,6,6,6
232,3,3,3,3,3,3,3,3
233,5,5,5,5,5,5,5,5
234,7,7,7,7,7,7,7,7
235,2,2,2,2,2,2,2,2
236,1,1,1,1,1,1,1,1
237,4,4,4,4,4,4,4,4
238,8,8,8,8,8,8,8,8
239,2,2,2,2,2,2,2,2
240,2,2,2,2,2,2,2,2
241,3,3,3,3,3,3,3,3
242,9,9,9,9,9,9,9,9
243,2,2,2,2,2,2,2,2
244,4,4,4,4,4,4,4,4
246,9,9,9,9,9,9,9,9
247,1,1,1,1,1,1,1,1
248,3,3,3,3,3,3,3,3
249,5,5,5,5,5,5,5,5
250,11,11,11,11,11,11,11,11
251,3,3,3,3,3,3,3,3
252,3,3,3,3,3,3,3,3
253,15,15,15,15,15,15,15,15
254,17,17,17,17,17,17,17,17
256,6,6,6,6,6,6,6,6
258,106,106,106,106,106,106,106,106
259,10,10,10,10,10,10,10,10
260,2,2,2,2,2,2,2,2
262,9,9,9,9,9,9,9,9
263,4,4,4,4,4,4,4,4
266,4,4,4,4,4,4,4,4
267,2,2,2,2,2,2,2,2
268,18,18,18,18,18,18,18,18
273,13,13,13,13,13,13,13,13
274,2,2,2,2,2,2,2,2
275,9,9,9,9,9,9,9,9
277,4,4,4,4,4,4,4,4
301,31,31,31,31,31,31,31,31
302,16,16,16,16,16,16,16,16
