PCT,TYPE PTY,VRC,NAME,ADDRESS,,DOB        VOTED,MAILED,RCV'D,STYLE
101,8,8,8,8,1,8,8,8,8
102,3,3,3,3,2,3,3,3,3
103,7,7,7,7,1,7,7,7,7
104,11,11,11,11,7,11,11,11,11
105,23,23,23,23,9,23,23,23,23
106,8,8,8,8,4,8,8,8,8
108,5,5,5,5,0,5,5,5,5
109,10,10,10,10,6,10,10,10,10
110,19,19,19,19,9,19,19,19,19
111,12,12,12,12,2,12,12,12,12
112,6,6,6,6,1,6,6,6,6
113,17,17,17,17,2,17,17,17,17
114,1,1,1,1,0,1,1,1,1
117,12,12,12,12,1,12,12,12,12
118,3,3,3,3,2,3,3,3,3
121,1,1,1,1,0,1,1,1,1
122,14,14,14,14,0,14,14,14,14
123,14,14,14,14,7,14,14,14,14
124,11,11,11,11,1,11,11,11,11
126,18,18,18,18,5,18,18,18,18
129,9,9,9,9,6,9,9,9,9
130,6,6,6,6,0,6,6,6,6
132,12,12,12,12,1,12,12,12,12
133,11,11,11,11,2,11,11,11,11
135,57,57,57,57,16,57,57,57,57
136,14,14,14,14,2,14,14,14,14
137,28,28,28,28,9,28,28,28,28
139,15,15,15,15,9,15,15,15,15
140,11,11,11,11,2,11,11,11,11
142,3,3,3,3,1,3,3,3,3
145,11,11,11,11,3,11,11,11,11
146,10,10,10,10,0,10,10,10,10
148,16,16,16,16,8,16,16,16,16
149,8,8,8,8,0,8,8,8,8
150,3,3,3,3,0,3,3,3,3
151,21,21,21,21,0,21,21,21,21
152,15,15,15,15,1,15,15,15,15
153,30,30,30,30,10,30,30,30,30
154,16,16,16,16,3,16,16,16,16
156,30,30,30,30,8,30,30,30,30
160,18,18,18,18,4,18,18,18,18
161,10,10,10,10,0,10,10,10,10
164,9,9,9,9,3,9,9,9,9
200,42,42,42,42,19,42,42,42,42
202,29,29,29,29,2,29,29,29,29
203,3,3,3,3,2,3,3,3,3
205,16,16,16,16,9,16,16,16,16
206,9,9,9,9,4,9,9,9,9
207,39,39,39,39,18,39,39,39,39
208,5,5,5,5,3,5,5,5,5
209,8,8,8,8,5,8,8,8,8
210,15,15,15,15,1,15,15,15,15
211,11,11,11,11,1,11,11,11,11
212,43,43,43,43,16,43,43,43,43
214,33,33,33,33,1,33,33,33,33
215,18,18,18,18,6,18,18,18,18
216,15,15,15,15,15,15,15,15,15
217,13,13,13,13,2,13,13,13,13
218,34,34,34,34,16,34,34,34,34
219,22,22,22,22,6,22,22,22,22
220,26,26,26,26,3,26,26,26,26
221,5,5,5,5,4,5,5,5,5
222,11,11,11,11,5,11,11,11,11
223,5,5,5,5,1,5,5,5,5
224,1,1,1,1,1,1,1,1,1
225,25,25,25,25,17,25,25,25,25
226,6,6,6,6,6,6,6,6,6
227,6,6,6,6,6,6,6,6,6
228,12,12,12,12,3,12,12,12,12
229,13,13,13,13,3,13,13,13,13
231,44,44,44,44,12,44,44,44,44
232,66,66,66,66,39,66,66,66,66
233,51,51,51,51,20,51,51,51,51
234,11,11,11,11,0,11,11,11,11
235,12,12,12,12,5,12,12,12,12
236,31,31,31,31,5,31,31,31,31
237,23,23,23,23,7,23,23,23,23
238,32,32,32,32,15,32,32,32,32
239,28,28,28,28,3,28,28,28,28
240,9,9,9,9,1,9,9,9,9
241,21,21,21,21,2,21,21,21,21
242,34,34,34,34,3,34,34,34,34
243,12,12,12,12,3,12,12,12,12
244,21,21,21,21,5,21,21,21,21
245,12,12,12,12,8,12,12,12,12
246,45,45,45,45,8,45,45,45,45
247,8,8,8,8,0,8,8,8,8
248,13,13,13,13,1,13,13,13,13
249,48,48,48,48,19,48,48,48,48
250,48,48,48,48,20,48,48,48,48
251,34,34,34,34,3,34,34,34,34
252,23,23,23,23,7,23,23,23,23
253,46,46,46,46,4,46,46,46,46
254,38,38,38,38,13,38,38,38,38
256,22,22,22,22,0,22,22,22,22
258,40,40,40,40,9,40,40,40,40
259,43,43,43,43,3,43,43,43,43
260,10,10,10,10,3,10,10,10,10
262,89,89,89,89,21,89,89,89,89
263,30,30,30,30,3,30,30,30,30
266,20,20,20,20,2,20,20,20,20
267,21,21,21,21,3,21,21,21,21
268,28,28,28,28,20,28,28,28,28
273,66,66,66,66,46,66,66,66,66
274,21,21,21,21,5,21,21,21,21
275,27,27,27,27,6,27,27,27,27
277,11,11,11,11,11,11,11,11,11
301,6,6,6,6,3,6,6,6,6
302,41,41,41,41,7,41,41,41,41
303,30,30,30,30,1,30,30,30,30
304,38,38,38,38,1,38,38,38,38
306,43,43,43,43,1,43,43,43,43
307,32,32,32,32,0,32,32,32,32
308,53,53,53,53,19,53,53,53,53
309,39,39,39,39,3,39,39,39,39
310,64,64,64,64,7,64,64,64,64
311,23,23,23,23,18,23,23,23,23
312,22,22,22,22,11,22,22,22,22
314,134,134,134,134,96,134,134,134,134
315,50,50,50,50,6,50,50,50,50
316,41,41,41,41,11,41,41,41,41
317,31,31,31,31,5,31,31,31,31
318,1,1,1,1,0,1,1,1,1
319,25,25,25,25,1,25,25,25,25
320,18,18,18,18,7,18,18,18,18
321,20,20,20,20,12,20,20,20,20
323,33,33,33,33,32,33,33,33,33
324,37,37,37,37,17,37,37,37,37
325,2,2,2,2,2,2,2,2,2
326,36,36,36,36,6,36,36,36,36
327,57,57,57,57,5,57,57,57,57
328,74,74,74,74,43,74,74,74,74
329,37,37,37,37,30,37,37,37,37
330,35,35,35,35,13,35,35,35,35
331,30,30,30,30,3,30,30,30,30
332,43,43,43,43,9,43,43,43,43
333,22,22,22,22,5,22,22,22,22
334,41,41,41,41,11,41,41,41,41
335,55,55,55,55,22,55,55,55,55
336,40,40,40,40,9,40,40,40,40
337,52,52,52,52,9,52,52,52,52
338,59,59,59,59,5,59,59,59,59
339,50,50,50,50,13,50,50,50,50
340,38,38,38,38,28,38,38,38,38
342,107,107,107,107,19,107,107,107,107
343,10,10,10,10,10,10,10,10,10
344,47,47,47,47,0,47,47,47,47
346,92,92,92,92,23,92,92,92,92
347,70,70,70,70,37,70,70,70,70
349,77,77,77,77,25,77,77,77,77
350,41,41,41,41,9,41,41,41,41
351,14,14,14,14,10,14,14,14,14
352,44,44,44,44,6,44,44,44,44
354,98,98,98,98,48,98,98,98,98
356,10,10,10,10,10,10,10,10,10
357,14,14,14,14,9,14,14,14,14
358,57,57,57,57,4,57,57,57,57
359,43,43,43,43,7,43,43,43,43
360,67,67,67,67,12,67,67,67,67
361,20,20,20,20,6,20,20,20,20
362,70,70,70,70,23,70,70,70,70
363,41,41,41,41,7,41,41,41,41
364,84,84,84,84,13,84,84,84,84
365,27,27,27,27,9,27,27,27,27
366,73,73,73,73,19,73,73,73,73
367,59,59,59,59,4,59,59,59,59
370,8,8,8,8,2,8,8,8,8
371,13,13,13,13,2,13,13,13,13
373,56,56,56,56,10,56,56,56,56
401,5,5,5,5,0,5,5,5,5
402,8,8,8,8,2,8,8,8,8
403,10,10,10,10,1,10,10,10,10
404,20,20,20,20,0,20,20,20,20
405,14,14,14,14,1,14,14,14,14
406,37,37,37,37,21,37,37,37,37
407,17,17,17,17,7,17,17,17,17
408,24,24,24,24,9,24,24,24,24
409,15,15,15,15,2,15,15,15,15
410,27,27,27,27,7,27,27,27,27
411,25,25,25,25,14,25,25,25,25
413,10,10,10,10,3,10,10,10,10
414,28,28,28,28,9,28,28,28,28
415,20,20,20,20,2,20,20,20,20
417,10,10,10,10,6,10,10,10,10
419,5,5,5,5,0,5,5,5,5
420,13,13,13,13,7,13,13,13,13
421,44,44,44,44,15,44,44,44,44
422,34,34,34,34,7,34,34,34,34
423,53,53,53,53,9,53,53,53,53
424,30,30,30,30,3,30,30,30,30
425,10,10,10,10,4,10,10,10,10
426,22,22,22,22,4,22,22,22,22
427,30,30,30,30,8,30,30,30,30
428,17,17,17,17,5,17,17,17,17
429,11,11,11,11,8,11,11,11,11
430,10,10,10,10,7,10,10,10,10
431,20,20,20,20,9,20,20,20,20
433,20,20,20,20,3,20,20,20,20
435,57,57,57,57,11,57,57,57,57
436,4,4,4,4,0,4,4,4,4
437,28,28,28,28,2,28,28,28,28
438,11,11,11,11,7,11,11,11,11
439,13,13,13,13,3,13,13,13,13
440,7,7,7,7,4,7,7,7,7
441,25,25,25,25,3,25,25,25,25
442,4,4,4,4,2,4,4,4,4
443,33,33,33,33,7,33,33,33,33
446,17,17,17,17,1,17,17,17,17
447,25,25,25,25,3,25,25,25,25
448,10,10,10,10,2,10,10,10,10
450,25,25,25,25,5,25,25,25,25
451,36,36,36,36,5,36,36,36,36
452,17,17,17,17,6,17,17,17,17
454,26,26,26,26,12,26,26,26,26
458,51,51,51,51,17,51,51,51,51
460,37,37,37,37,3,37,37,37,37
461,26,26,26,26,13,26,26,26,26
463,30,30,30,30,1,30,30,30,30
