PCT,TYPE PTY,VRC,NAME,ADDRESS,DOB        VOTED,MAILED,RCV'D,STYLE
101,1,1,1,1,1,1,1,1
105,5,5,5,5,5,5,5,5
106,5,5,5,5,5,5,5,5
109,1,1,1,1,1,1,1,1
111,2,2,2,2,2,2,2,2
117,7,7,7,7,7,7,7,7
121,2,2,2,2,2,2,2,2
122,5,5,5,5,5,5,5,5
123,1,1,1,1,1,1,1,1
124,8,8,8,8,8,8,8,8
126,4,4,4,4,4,4,4,4
129,4,4,4,4,4,4,4,4
130,3,3,3,3,3,3,3,3
132,3,3,3,3,3,3,3,3
133,3,3,3,3,3,3,3,3
135,15,15,15,15,15,15,15,15
137,1,1,1,1,1,1,1,1
139,2,2,2,2,2,2,2,2
140,3,3,3,3,3,3,3,3
141,1,1,1,1,1,1,1,1
146,1,1,1,1,1,1,1,1
148,1,1,1,1,1,1,1,1
149,2,2,2,2,2,2,2,2
151,5,5,5,5,5,5,5,5
152,5,5,5,5,5,5,5,5
153,4,4,4,4,4,4,4,4
154,1,1,1,1,1,1,1,1
156,10,10,10,10,10,10,10,10
161,2,2,2,2,2,2,2,2
164,3,3,3,3,3,3,3,3
200,11,11,11,11,11,11,11,11
202,6,6,6,6,6,6,6,6
205,8,8,8,8,8,8,8,8
207,16,16,16,16,16,16,16,16
209,1,1,1,1,1,1,1,1
210,4,4,4,4,4,4,4,4
211,1,1,1,1,1,1,1,1
212,8,8,8,8,8,8,8,8
214,8,8,8,8,8,8,8,8
215,2,2,2,2,2,2,2,2
218,7,7,7,7,7,7,7,7
220,4,4,4,4,4,4,4,4
221,3,3,3,3,3,3,3,3
222,5,5,5,5,5,5,5,5
223,2,2,2,2,2,2,2,2
225,2,2,2,2,2,2,2,2
226,1,1,1,1,1,1,1,1
227,1,1,1,1,1,1,1,1
228,3,3,3,3,3,3,3,3
229,3,3,3,3,3,3,3,3
231,9,9,9,9,9,9,9,9
232,10,10,10,10,10,10,10,10
233,1,1,1,1,1,1,1,1
234,3,3,3,3,3,3,3,3
235,6,6,6,6,6,6,6,6
236,11,11,11,11,11,11,11,11
237,12,12,12,12,12,12,12,12
238,8,8,8,8,8,8,8,8
239,7,7,7,7,7,7,7,7
240,1,1,1,1,1,1,1,1
241,1,1,1,1,1,1,1,1
242,14,14,14,14,14,14,14,14
243,4,4,4,4,4,4,4,4
244,6,6,6,6,6,6,6,6
245,3,3,3,3,3,3,3,3
246,11,11,11,11,11,11,11,11
247,6,6,6,6,6,6,6,6
248,6,6,6,6,6,6,6,6
249,8,8,8,8,8,8,8,8
250,7,7,7,7,7,7,7,7
251,16,16,16,16,16,16,16,16
252,7,7,7,7,7,7,7,7
253,14,14,14,14,14,14,14,14
254,6,6,6,6,6,6,6,6
256,8,8,8,8,8,8,8,8
258,1,1,1,1,1,1,1,1
259,5,5,5,5,5,5,5,5
260,5,5,5,5,5,5,5,5
262,10,10,10,10,10,10,10,10
263,6,6,6,6,6,6,6,6
266,3,3,3,3,3,3,3,3
267,6,6,6,6,6,6,6,6
268,1,1,1,1,1,1,1,1
273,11,11,11,11,11,11,11,11
274,4,4,4,4,4,4,4,4
275,10,10,10,10,10,10,10,10
302,10,10,10,10,10,10,10,10
303,6,6,6,6,6,6,6,6
304,15,15,15,15,15,15,15,15
306,6,6,6,6,6,6,6,6
307,1,1,1,1,1,1,1,1
308,17,17,17,17,17,17,17,17
309,16,16,16,16,16,16,16,16
310,19,19,19,19,19,19,19,19
311,7,7,7,7,7,7,7,7
312,8,8,8,8,8,8,8,8
314,27,27,27,27,27,27,27,27
315,7,7,7,7,7,7,7,7
316,9,9,9,9,9,9,9,9
317,8,8,8,8,8,8,8,8
319,9,9,9,9,9,9,9,9
320,6,6,6,6,6,6,6,6
321,2,2,2,2,2,2,2,2
323,6,6,6,6,6,6,6,6
324,9,9,9,9,9,9,9,9
326,8,8,8,8,8,8,8,8
327,11,11,11,11,11,11,11,11
328,11,11,11,11,11,11,11,11
329,8,8,8,8,8,8,8,8
330,5,5,5,5,5,5,5,5
331,17,17,17,17,17,17,17,17
332,1,1,1,1,1,1,1,1
333,2,2,2,2,2,2,2,2
334,13,13,13,13,13,13,13,13
335,8,8,8,8,8,8,8,8
336,4,4,4,4,4,4,4,4
337,13,13,13,13,13,13,13,13
338,16,16,16,16,16,16,16,16
342,2,2,2,2,2,2,2,2
346,17,17,17,17,17,17,17,17
347,1,1,1,1,1,1,1,1
349,11,11,11,11,11,11,11,11
350,6,6,6,6,6,6,6,6
354,4,4,4,4,4,4,4,4
357,5,5,5,5,5,5,5,5
358,10,10,10,10,10,10,10,10
359,18,18,18,18,18,18,18,18
360,10,10,10,10,10,10,10,10
361,6,6,6,6,6,6,6,6
362,11,11,11,11,11,11,11,11
363,10,10,10,10,10,10,10,10
364,17,17,17,17,17,17,17,17
365,9,9,9,9,9,9,9,9
