PCT,TYPE PTY,VRC,NAME,ADDRESS,DOB        VOTED,MAILED,RCV'D,STYLE
101,196,196,196,196,196,196,196,196
102,53,53,53,53,53,53,53,53
103,95,95,95,95,95,95,95,95
104,176,176,176,176,176,176,176,176
105,286,286,286,286,286,286,286,286
106,145,145,145,145,145,145,145,145
107,19,19,19,19,19,19,19,19
108,70,70,70,70,70,70,70,70
109,100,100,100,100,100,100,100,100
110,225,225,225,225,225,225,225,225
111,164,164,164,164,164,164,164,164
112,35,35,35,35,35,35,35,35
113,212,212,212,212,212,212,212,212
114,24,24,24,24,24,24,24,24
117,113,113,113,113,113,113,113,113
118,33,33,33,33,33,33,33,33
120,14,14,14,14,14,14,14,14
121,57,57,57,57,57,57,57,57
122,241,241,241,241,241,241,241,241
123,230,230,230,230,230,230,230,230
124,151,151,151,151,151,151,151,151
126,200,200,200,200,200,200,200,200
129,180,180,180,180,180,180,180,180
130,104,104,104,104,104,104,104,104
132,158,158,158,158,158,158,158,158
133,134,134,134,134,134,134,134,134
135,468,468,468,468,468,468,468,468
136,156,156,156,156,156,156,156,156
137,348,348,348,348,348,348,348,348
139,120,120,120,120,120,120,120,120
140,89,89,89,89,89,89,89,89
141,6,6,6,6,6,6,6,6
142,27,27,27,27,27,27,27,27
145,72,72,72,72,72,72,72,72
146,121,121,121,121,121,121,121,121
148,178,178,178,178,178,178,178,178
149,66,66,66,66,66,66,66,66
150,96,96,96,96,96,96,96,96
151,125,125,125,125,125,125,125,125
152,195,195,195,195,195,195,195,195
153,158,158,158,158,158,158,158,158
154,91,91,91,91,91,91,91,91
156,223,223,223,223,223,223,223,223
160,50,50,50,50,50,50,50,50
161,55,55,55,55,55,55,55,55
163,2,2,2,2,2,2,2,2
164,62,62,62,62,62,62,62,62
200,188,188,188,188,188,188,188,188
202,111,111,111,111,111,111,111,111
203,18,18,18,18,18,18,18,18
205,56,56,56,56,56,56,56,56
206,30,30,30,30,30,30,30,30
207,162,162,162,162,162,162,162,162
208,6,6,6,6,6,6,6,6
209,34,34,34,34,34,34,34,34
210,98,98,98,98,98,98,98,98
211,79,79,79,79,79,79,79,79
212,217,217,217,217,217,217,217,217
214,161,161,161,161,161,161,161,161
215,64,64,64,64,64,64,64,64
216,130,130,130,130,130,130,130,130
217,70,70,70,70,70,70,70,70
218,124,124,124,124,124,124,124,124
219,102,102,102,102,102,102,102,102
220,140,140,140,140,140,140,140,140
221,24,24,24,24,24,24,24,24
222,110,110,110,110,110,110,110,110
223,27,27,27,27,27,27,27,27
224,2,2,2,2,2,2,2,2
225,105,105,105,105,105,105,105,105
226,42,42,42,42,42,42,42,42
227,43,43,43,43,43,43,43,43
228,75,75,75,75,75,75,75,75
229,80,80,80,80,80,80,80,80
231,236,236,236,236,236,236,236,236
232,179,179,179,179,179,179,179,179
233,162,162,162,162,162,162,162,162
234,90,90,90,90,90,90,90,90
235,88,88,88,88,88,88,88,88
236,210,210,210,210,210,210,210,210
237,183,183,183,183,183,183,183,183
238,163,163,163,163,163,163,163,163
239,175,175,175,175,175,175,175,175
240,74,74,74,74,74,74,74,74
241,97,97,97,97,97,97,97,97
242,271,271,271,271,271,271,271,271
243,108,108,108,108,108,108,108,108
244,68,68,68,68,68,68,68,68
245,20,20,20,20,20,20,20,20
246,73,73,73,73,73,73,73,73
247,47,47,47,47,47,47,47,47
248,109,109,109,109,109,109,109,109
249,206,206,206,206,206,206,206,206
250,211,211,211,211,211,211,211,211
251,124,124,124,124,124,124,124,124
252,141,141,141,141,141,141,141,141
253,228,228,228,228,228,228,228,228
254,90,90,90,90,90,90,90,90
256,74,74,74,74,74,74,74,74
258,7,7,7,7,7,7,7,7
259,72,72,72,72,72,72,72,72
260,1,1,1,1,1,1,1,1
262,195,195,195,195,195,195,195,195
263,56,56,56,56,56,56,56,56
266,26,26,26,26,26,26,26,26
267,33,33,33,33,33,33,33,33
