PCT,TYPE PTY,VRC,NAME,,ADDRESS,,DOB,VOTED,MAILED,RCV'D,STYLE
101,359,359,359,60,359,13,359,359,0,0,359
102,63,63,63,7,63,6,63,63,0,0,63
103,79,79,79,14,79,3,79,79,0,0,79
104,63,63,63,10,63,4,63,63,0,0,63
105,608,608,608,109,608,77,608,608,0,0,608
106,162,162,162,27,162,10,162,162,0,0,162
107,17,17,17,2,17,2,17,17,0,0,17
108,93,93,93,16,93,6,93,93,0,0,93
109,165,165,165,20,165,43,165,165,0,0,165
110,407,407,407,76,407,116,407,407,0,0,407
111,260,260,260,45,260,73,260,260,0,0,260
112,107,107,107,21,107,61,107,107,0,0,107
113,355,355,355,57,355,72,355,355,0,0,355
114,7,7,7,0,7,0,7,7,0,0,7
117,129,129,129,32,129,1,129,129,0,0,129
118,18,18,18,3,18,6,18,18,0,0,18
120,25,25,25,3,25,11,25,25,0,0,25
121,50,50,50,4,50,5,50,50,0,0,50
122,170,170,170,34,170,17,170,170,0,0,170
123,444,444,444,81,444,46,444,444,0,0,444
124,299,299,299,58,299,41,299,299,0,0,299
126,374,374,374,66,374,55,374,374,0,0,374
129,174,174,174,32,174,28,174,174,0,0,174
130,149,149,149,22,149,5,149,149,0,0,149
132,173,173,173,31,173,18,173,173,0,0,173
133,150,150,150,29,150,8,150,150,0,0,150
135,639,639,639,128,639,113,639,639,0,0,639
136,158,158,158,27,158,7,158,158,0,0,158
137,709,709,709,103,709,38,709,709,0,0,709
139,106,106,106,20,106,39,106,106,0,0,106
140,93,93,93,22,93,7,93,93,0,0,93
141,28,28,28,4,28,25,28,28,0,0,28
142,68,68,68,16,68,16,68,68,0,0,68
145,105,105,105,19,105,0,105,105,0,0,105
146,171,171,171,26,171,5,171,171,0,0,171
148,224,224,224,34,224,49,224,224,0,0,224
149,129,129,129,21,129,4,129,129,0,0,129
150,108,108,108,17,108,0,108,108,0,0,108
151,141,141,141,24,141,5,141,141,0,0,141
152,291,291,291,38,291,30,291,291,0,0,291
153,315,315,315,54,315,33,315,315,0,0,315
154,254,254,254,40,254,16,254,254,0,0,254
156,371,371,371,64,371,135,371,371,0,0,371
160,94,94,94,16,94,15,94,94,0,0,94
161,100,100,100,30,100,16,100,100,0,0,100
163,17,17,17,1,17,3,17,17,0,0,17
164,72,72,72,14,72,10,72,72,0,0,72
200,455,455,455,85,455,112,455,455,0,0,455
