PCT,TYPE PTY,VRC,NAME,ADDRESS,DOB,VOTED,MAILED,RCV'D,STYLE
101,246,246,246,246,246,246,0,0,246
102,43,43,43,43,43,43,0,0,43
103,67,67,67,67,67,67,0,0,67
104,30,30,30,30,30,30,0,0,30
105,426,426,426,426,426,426,0,0,426
106,102,102,102,102,102,102,0,0,102
107,11,11,11,11,11,11,0,0,11
108,60,60,60,60,60,60,0,0,60
109,107,107,107,107,107,107,0,0,107
110,353,353,353,353,353,353,0,0,353
111,194,194,194,194,194,194,0,0,194
112,92,92,92,92,92,92,0,0,92
113,374,374,374,374,374,374,0,0,374
114,2,2,2,2,2,2,0,0,2
117,96,96,96,96,96,96,0,0,96
118,13,13,13,13,13,13,0,0,13
120,11,11,11,11,11,11,0,0,11
121,37,37,37,37,37,37,0,0,37
122,97,97,97,97,97,97,0,0,97
123,429,429,429,429,429,429,0,0,429
124,156,156,156,156,156,156,0,0,156
126,154,154,154,154,154,154,0,0,154
129,74,74,74,74,74,74,0,0,74
130,74,74,74,74,74,74,0,0,74
132,90,90,90,90,90,90,0,0,90
133,90,90,90,90,90,90,0,0,90
135,274,274,274,274,274,274,0,0,274
136,135,135,135,135,135,135,0,0,135
137,597,597,597,597,597,597,0,0,597
139,91,91,91,91,91,91,0,0,91
140,59,59,59,59,59,59,0,0,59
141,26,26,26,26,26,26,0,0,26
142,42,42,42,42,42,42,0,0,42
145,111,111,111,111,111,111,0,0,111
146,145,145,145,145,145,145,0,0,145
148,172,172,172,172,172,172,0,0,172
149,67,67,67,67,67,67,0,0,67
150,88,88,88,88,88,88,0,0,88
151,92,92,92,92,92,92,0,0,92
152,115,115,115,115,115,115,0,0,115
153,226,226,226,226,226,226,0,0,226
154,192,192,192,192,192,192,0,0,192
156,196,196,196,196,196,196,0,0,196
160,106,106,106,106,106,106,0,0,106
161,87,87,87,87,87,87,0,0,87
163,15,15,15,15,15,15,0,0,15
164,49,49,49,49,49,49,0,0,49
200,165,165,165,165,165,165,0,0,165
