PCT,TYPE PTY,VRC,NAME,,,ADDRESS,DOB,VOTED,MAILED,RCV'D,STYLE
101,97,97,97,15,10,97,97,97,0,0,97
102,23,23,23,2,1,23,23,23,0,0,23
103,37,37,37,5,4,37,37,37,0,0,37
104,16,16,16,1,0,16,16,16,0,0,16
105,228,228,228,31,13,228,228,228,0,0,228
106,62,62,62,10,4,62,62,62,0,0,62
107,2,2,2,1,0,2,2,2,0,0,2
108,26,26,26,4,2,26,26,26,0,0,26
109,33,33,33,6,3,33,33,33,0,0,33
110,201,201,201,25,7,201,201,201,0,0,201
111,97,97,97,13,7,97,97,97,0,0,97
112,46,46,46,9,4,46,46,46,0,0,46
113,194,194,194,34,16,194,194,194,0,0,194
114,3,3,3,0,0,3,3,3,0,0,3
117,64,64,64,10,6,64,64,64,0,0,64
118,8,8,8,1,1,8,8,8,0,0,8
120,14,14,14,3,1,14,14,14,0,0,14
121,17,17,17,2,0,17,17,17,0,0,17
122,58,58,58,11,5,58,58,58,0,0,58
123,210,210,210,39,12,210,210,210,0,0,210
124,59,59,59,12,4,59,59,59,0,0,59
126,67,67,67,16,6,67,67,67,0,0,67
129,29,29,29,9,4,29,29,29,0,0,29
130,21,21,21,4,2,21,21,21,0,0,21
132,44,44,44,12,5,44,44,44,0,0,44
133,34,34,34,5,3,34,34,34,0,0,34
135,160,160,160,26,13,160,160,160,0,0,160
136,76,76,76,18,3,76,76,76,0,0,76
137,318,318,318,53,21,318,318,318,0,0,318
139,47,47,47,13,5,47,47,47,0,0,47
140,46,46,46,10,4,46,46,46,0,0,46
141,3,3,3,2,1,3,3,3,0,0,3
142,24,24,24,4,1,24,24,24,0,0,24
145,68,68,68,14,5,68,68,68,0,0,68
146,71,71,71,11,6,71,71,71,0,0,71
148,114,114,114,8,5,114,114,114,0,0,114
149,47,47,47,7,2,47,47,47,0,0,47
150,59,59,59,7,2,59,59,59,0,0,59
151,37,37,37,7,1,37,37,37,0,0,37
152,36,36,36,7,3,36,36,36,0,0,36
153,114,114,114,19,10,114,114,114,0,0,114
154,95,95,95,14,8,95,95,95,0,0,95
156,105,105,105,24,9,105,105,105,0,0,105
160,77,77,77,13,5,77,77,77,0,0,77
161,42,42,42,10,4,42,42,42,0,0,42
163,9,9,9,0,0,9,9,9,0,0,9
164,21,21,21,6,2,21,21,21,0,0,21
200,82,82,82,20,5,82,82,82,0,0,82
