PCT,TYPE PTY,VRC,NAME,ADDRESS,DOB        VOTED,MAILED,RCV'D,STYLE
101,35,35,35,35,35,35,35,35
102,4,4,4,4,4,4,4,4
103,22,22,22,22,22,22,22,22
104,27,27,27,27,27,27,27,27
105,97,97,97,97,97,97,97,97
106,32,32,32,32,32,32,32,32
107,1,1,1,1,1,1,1,1
108,7,7,7,7,7,7,7,7
109,16,16,16,16,16,16,16,16
110,25,25,25,25,25,25,25,25
111,19,19,19,19,19,19,19,19
112,6,6,6,6,6,6,6,6
113,20,20,20,20,20,20,20,20
114,1,1,1,1,1,1,1,1
117,36,36,36,36,36,36,36,36
118,7,7,7,7,7,7,7,7
120,2,2,2,2,2,2,2,2
121,13,13,13,13,13,13,13,13
122,41,41,41,41,41,41,41,41
123,24,24,24,24,24,24,24,24
124,42,42,42,42,42,42,42,42
126,48,48,48,48,48,48,48,48
129,35,35,35,35,35,35,35,35
130,30,30,30,30,30,30,30,30
132,34,34,34,34,34,34,34,34
133,40,40,40,40,40,40,40,40
135,153,153,153,153,153,153,153,153
136,17,17,17,17,17,17,17,17
137,39,39,39,39,39,39,39,39
139,53,53,53,53,53,53,53,53
140,34,34,34,34,34,34,34,34
141,3,3,3,3,3,3,3,3
142,8,8,8,8,8,8,8,8
145,12,12,12,12,12,12,12,12
146,17,17,17,17,17,17,17,17
148,25,25,25,25,25,25,25,25
149,28,28,28,28,28,28,28,28
150,5,5,5,5,5,5,5,5
151,56,56,56,56,56,56,56,56
152,53,53,53,53,53,53,53,53
153,89,89,89,89,89,89,89,89
154,37,37,37,37,37,37,37,37
156,108,108,108,108,108,108,108,108
160,19,19,19,19,19,19,19,19
161,16,16,16,16,16,16,16,16
163,1,1,1,1,1,1,1,1
164,24,24,24,24,24,24,24,24
200,115,115,115,115,115,115,115,115
202,72,72,72,72,72,72,72,72
203,3,3,3,3,3,3,3,3
205,41,41,41,41,41,41,41,41
206,22,22,22,22,22,22,22,22
207,94,94,94,94,94,94,94,94
208,14,14,14,14,14,14,14,14
209,17,17,17,17,17,17,17,17
210,63,63,63,63,63,63,63,63
211,33,33,33,33,33,33,33,33
212,129,129,129,129,129,129,129,129
214,84,84,84,84,84,84,84,84
215,30,30,30,30,30,30,30,30
216,28,28,28,28,28,28,28,28
217,42,42,42,42,42,42,42,42
218,69,69,69,69,69,69,69,69
219,26,26,26,26,26,26,26,26
220,68,68,68,68,68,68,68,68
221,19,19,19,19,19,19,19,19
222,48,48,48,48,48,48,48,48
223,16,16,16,16,16,16,16,16
224,5,5,5,5,5,5,5,5
225,67,67,67,67,67,67,67,67
226,10,10,10,10,10,10,10,10
227,7,7,7,7,7,7,7,7
228,37,37,37,37,37,37,37,37
229,32,32,32,32,32,32,32,32
231,95,95,95,95,95,95,95,95
232,162,162,162,162,162,162,162,162
233,110,110,110,110,110,110,110,110
234,49,49,49,49,49,49,49,49
235,44,44,44,44,44,44,44,44
236,88,88,88,88,88,88,88,88
237,64,64,64,64,64,63,64,64
238,75,75,75,75,75,75,75,75
239,73,73,73,73,73,73,73,73
240,22,22,22,22,22,22,22,22
241,41,41,41,41,41,41,41,41
242,96,96,96,96,96,96,96,96
243,29,29,29,29,29,29,29,29
244,89,89,89,89,89,89,89,89
245,27,27,27,27,27,27,27,27
246,111,111,111,111,111,111,111,111
247,33,33,33,33,33,33,33,33
248,44,44,44,44,44,44,44,44
249,111,111,111,111,111,111,111,111
250,154,154,154,154,154,154,154,154
251,104,104,104,104,104,104,104,104
252,67,67,67,67,67,67,67,67
253,132,132,132,132,132,132,132,132
254,119,119,119,119,119,119,119,119
256,85,85,85,85,85,85,85,85
258,52,52,52,52,52,52,52,52
259,105,105,105,105,105,105,105,105
260,38,38,38,38,38,38,38,38
262,195,195,195,195,195,195,195,195
263,75,75,75,75,75,75,75,75
266,37,37,37,37,37,37,37,37
267,50,50,50,50,50,50,50,50
268,30,30,30,30,30,30,30,30
273,174,174,174,174,174,174,174,174
274,48,48,48,48,48,48,48,48
275,88,88,88,88,88,88,88,88
277,31,31,31,31,31,31,31,31
301,9,9,9,9,9,9,9,9
302,111,111,111,111,111,111,111,111
303,85,85,85,85,85,85,85,85
304,163,163,163,163,163,163,163,163
306,174,174,174,174,174,174,174,174
307,36,36,36,36,36,36,36,36
308,225,225,225,225,225,225,225,225
309,111,111,111,111,111,111,111,111
310,168,168,168,168,168,168,168,168
311,58,58,58,58,58,58,58,58
312,103,103,103,103,103,103,103,103
314,333,333,333,333,333,333,333,333
315,135,135,135,135,135,135,135,135
316,110,110,110,110,110,110,110,110
317,78,78,78,78,78,78,78,78
318,10,10,10,10,10,10,10,10
319,100,100,100,100,100,100,100,100
320,89,89,89,89,89,89,89,89
321,44,44,44,44,44,44,44,44
323,72,72,72,72,72,72,72,72
324,145,145,145,145,145,145,145,145
325,6,6,6,6,6,6,6,6
326,85,85,85,85,85,85,85,85
327,154,154,154,154,154,154,154,154
328,163,163,163,163,163,163,163,163
329,113,113,113,113,113,113,113,113
330,110,110,110,110,110,110,110,110
331,100,100,100,100,100,100,100,100
332,52,52,52,52,52,52,52,52
333,72,72,72,72,72,72,72,72
334,122,122,122,122,122,122,122,122
335,132,132,132,132,132,132,132,132
336,95,95,95,95,95,95,95,95
337,145,145,145,145,145,145,145,145
338,213,213,213,213,213,213,213,213
339,58,58,58,58,58,58,58,58
340,43,43,43,43,43,43,43,43
342,132,132,132,132,132,132,132,132
343,33,33,33,33,33,33,33,33
344,54,54,54,54,54,54,54,54
346,332,332,332,332,332,332,332,332
347,78,78,78,78,78,78,78,78
349,181,181,181,181,181,181,181,181
350,130,130,130,130,130,130,130,130
351,14,14,14,14,14,14,14,14
352,51,51,51,51,51,51,51,51
354,122,122,122,122,122,122,122,122
356,12,12,12,12,12,12,12,12
357,34,34,34,34,34,34,34,34
358,150,150,150,150,150,150,150,150
359,200,200,200,200,200,200,200,200
360,180,180,180,180,180,180,180,180
361,58,58,58,58,58,58,58,58
362,162,162,162,162,162,162,162,162
363,95,95,95,95,95,95,95,95
364,187,187,187,187,187,187,187,187
365,89,89,89,89,89,89,89,89
366,202,202,202,202,202,202,202,202
367,219,219,219,219,219,219,219,219
368,7,7,7,7,7,7,7,7
369,8,8,8,8,8,8,8,8
370,38,38,38,38,38,38,38,38
371,103,103,103,103,103,103,103,103
372,3,3,3,3,3,3,3,3
373,249,249,249,249,249,249,249,249
374,3,3,3,3,3,3,3,3
401,40,40,40,40,40,40,40,40
402,54,54,54,54,54,54,54,54
403,14,14,14,14,14,14,14,14
404,79,79,79,79,79,79,79,79
405,21,21,21,21,21,21,21,21
406,181,181,181,181,181,181,181,181
407,66,66,66,66,66,66,66,66
408,80,80,80,80,80,80,80,80
409,17,17,17,17,17,17,17,17
410,40,40,40,40,40,39,40,40
411,60,60,60,60,60,60,60,60
413,18,18,18,18,18,18,18,18
414,60,60,60,60,60,60,60,60
415,41,41,41,41,41,41,41,41
416,1,1,1,1,1,1,1,1
417,34,34,34,34,34,34,34,34
419,8,8,8,8,8,8,8,8
420,49,49,49,49,49,49,49,49
421,101,101,101,101,101,101,101,101
422,97,97,97,97,97,97,97,97
423,123,123,123,123,123,123,123,123
424,49,49,49,49,49,49,49,49
425,11,11,11,11,11,11,11,11
426,84,84,84,84,84,84,84,84
427,74,74,74,74,74,74,74,74
428,94,94,94,94,94,94,94,94
429,27,27,27,27,27,27,27,27
430,10,10,10,10,10,10,10,10
431,59,59,59,59,59,59,59,59
433,74,74,74,74,74,74,74,74
435,190,190,190,190,190,190,190,190
436,11,11,11,11,11,11,11,11
437,45,45,45,45,45,45,45,45
438,47,47,47,47,47,47,47,47
439,64,64,64,64,64,64,64,64
440,25,25,25,25,25,25,25,25
441,93,93,93,93,93,93,93,93
442,13,13,13,13,13,13,13,13
443,83,83,83,83,83,83,83,83
444,6,6,6,6,6,6,6,6
446,17,17,17,17,17,17,17,17
447,30,30,30,30,30,30,30,30
448,45,45,45,45,45,45,45,45
450,104,104,104,104,104,104,104,104
451,45,45,45,45,45,45,45,45
452,52,52,52,52,52,52,52,52
454,31,31,31,31,31,31,31,31
458,54,54,54,54,54,54,54,54
460,41,41,41,41,41,41,41,41
461,29,29,29,29,29,29,29,29
463,119,119,119,119,119,119,119,119
